cycle,state,modeldate,candidate_name,pct_estimate
1988,Delaware,1988-11-08,George Bush,49.022541
1988,Delaware,1988-11-08,Michael S. Dukakis,34.832296
1988,Florida,1988-11-08,George Bush,57.550702
1988,Florida,1988-11-08,Michael S. Dukakis,35.808301
1988,Georgia,1988-11-08,George Bush,50.869978
1988,Georgia,1988-11-08,Michael S. Dukakis,38.949382
1988,Hawaii,1988-11-08,George Bush,34.023868
1988,Hawaii,1988-11-08,Michael S. Dukakis,41.675536
1988,Illinois,1988-11-08,George Bush,46.642244
1988,Illinois,1988-11-08,Michael S. Dukakis,45.433824
1988,Indiana,1988-11-08,George Bush,51.175531
1988,Indiana,1988-11-08,Michael S. Dukakis,37.372362
1988,Iowa,1988-11-08,George Bush,37.769242
1988,Iowa,1988-11-08,Michael S. Dukakis,51.348629
1988,Kansas,1988-11-08,George Bush,42.609085
1988,Kansas,1988-11-08,Michael S. Dukakis,34.883109
1988,Kentucky,1988-11-08,George Bush,47.317148
1988,Kentucky,1988-11-08,Michael S. Dukakis,41.791197
1988,Louisiana,1988-11-08,George Bush,48.347103
1988,Louisiana,1988-11-08,Michael S. Dukakis,39.623911
1988,Maine,1988-11-08,George Bush,45.982796
1988,Maine,1988-11-08,Michael S. Dukakis,42.126039
1988,Maryland,1988-11-08,George Bush,46.587844
1988,Maryland,1988-11-08,Michael S. Dukakis,45.944472
1988,Massachusetts,1988-11-08,George Bush,41.684623
1988,Massachusetts,1988-11-08,Michael S. Dukakis,48.431455
1988,Michigan,1988-11-08,George Bush,45.863448
1988,Michigan,1988-11-08,Michael S. Dukakis,43.626056
1988,Minnesota,1988-11-08,George Bush,42.254635
1988,Minnesota,1988-11-08,Michael S. Dukakis,49.89779
1988,Mississippi,1988-11-08,George Bush,56.127013
1988,Mississippi,1988-11-08,Michael S. Dukakis,37.076414
1988,Missouri,1988-11-08,George Bush,47.448792
1988,Missouri,1988-11-08,Michael S. Dukakis,41.91396
1988,Montana,1988-11-08,George Bush,45.995016
1988,Montana,1988-11-08,Michael S. Dukakis,36.983819
1988,National,1988-11-08,George Bush,52.292803
1988,National,1988-11-08,Michael S. Dukakis,41.668574
1988,Nebraska,1988-11-08,George Bush,45.570028
1988,Nebraska,1988-11-08,Michael S. Dukakis,39.5896
1988,Nevada,1988-11-08,George Bush,51.150093
1988,Nevada,1988-11-08,Michael S. Dukakis,33.449524
1988,New Hampshire,1988-11-08,George Bush,60.391007
1988,New Hampshire,1988-11-08,Michael S. Dukakis,32.119257
1988,New Jersey,1988-11-08,George Bush,51.303961
1988,New Jersey,1988-11-08,Michael S. Dukakis,40.924593
1988,New Mexico,1988-11-08,George Bush,49.184517
1988,New Mexico,1988-11-08,Michael S. Dukakis,39.668694
1988,New York,1988-11-08,George Bush,45.686668
1988,New York,1988-11-08,Michael S. Dukakis,45.885133
1988,North Carolina,1988-11-08,George Bush,50.290195
1988,North Carolina,1988-11-08,Michael S. Dukakis,41.989746
1988,North Dakota,1988-11-08,George Bush,51.515341
