year,state,proportion_democrat_president,resident_population,percent_change_resident_population,resident_population_density,resident_population_density_rank,republican_candidate,democratic_candidate,democratic_candidate_normalized,republican_candidate_normalized,pct_dem_in_polls,dem_prop_4_years_prior,dem_prop_8_years_prior,dem_prop_12_years_prior
1980,SOUTH CAROLINA,0.4936270672982154,2590516.0,8.7,86.2,21.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.43700094,0.565661090449159,0.43700094,0.43700094
1980,SOUTH DAKOTA,0.3436654114190034,665507.0,-2.2,8.8,46.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.17450183,0.4925696563319523,0.17450183,0.17450183
1980,TENNESSEE,0.4985007753951459,3923687.0,10.0,95.2,20.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.51268399,0.51268399,0.51268399,0.51268399
1980,TEXAS,0.4283265920618454,11196730.0,16.9,42.9,35.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.38029731,0.38029731,0.38029731,0.38029731
1980,VIRGINIA,0.4318413947087553,4648494.0,17.2,117.7,18.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.29742939,0.29742939,0.29742939,0.29742939
1980,WASHINGTON,0.429046539051112,3409169.0,19.5,51.3,30.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.32373094,0.4797970643220483,0.32373094,0.32373094
1980,WEST VIRGINIA,0.5236978172012975,1744237.0,-6.2,72.6,27.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.40200027,0.40200027,0.40200027,0.40200027
1980,WISCONSIN,0.4740969142143971,4417731.0,11.8,81.6,24.0,"REAGAN, RONALD","CARTER, JIMMY",JIMMY CARTER,RONALD REAGAN,0.31524793,0.31524793,0.31524793,0.31524793
1984,ALABAMA,0.3873660464868173,3893888.0,13.1,76.9,28.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.35034674,0.4932366169296053,0.35034674,0.35034674
1984,CALIFORNIA,0.4177546517780233,23667902.0,18.6,151.9,16.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.38947686,0.4053337544079053,0.4908217269318179,0.38947686
1984,COLORADO,0.356342301643494,2889964.0,30.9,27.9,40.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.31,0.360696597871354,0.4409245616838536,0.31
1984,CONNECTICUT,0.3900083123698196,3107576.0,2.5,641.7,6.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.30695356,0.4444280367728735,0.4738998329378652,0.30695356
1984,FLORIDA,0.3466758678645452,9746324.0,43.6,181.8,13.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.31783757,0.4094923705280309,0.31783757,0.31783757
