cycle,state,modeldate,candidate_name,pct_estimate,candidate_name_normalized
1984,Alabama,1984-11-06,Walter F. Mondale,35.034674,WALTER MONDALE
1984,California,1984-11-06,Ronald Reagan,55.258525,RONALD REAGAN
1984,California,1984-11-06,Walter F. Mondale,38.947686,WALTER MONDALE
1984,Colorado,1984-11-06,Ronald Reagan,54.0,RONALD REAGAN
1984,Colorado,1984-11-06,Walter F. Mondale,31.0,WALTER MONDALE
1984,Connecticut,1984-11-06,Ronald Reagan,57.287666,RONALD REAGAN
1984,Connecticut,1984-11-06,Walter F. Mondale,30.695356,WALTER MONDALE
1984,Florida,1984-11-06,Ronald Reagan,61.855152,RONALD REAGAN
1984,Florida,1984-11-06,Walter F. Mondale,31.783757,WALTER MONDALE
1984,Illinois,1984-11-06,Ronald Reagan,52.219493,RONALD REAGAN
1984,Illinois,1984-11-06,Walter F. Mondale,39.675961,WALTER MONDALE
1984,Indiana,1984-11-06,Ronald Reagan,51.718104,RONALD REAGAN
1984,Indiana,1984-11-06,Walter F. Mondale,36.119087,WALTER MONDALE
1984,Iowa,1984-11-06,Ronald Reagan,51.880488,RONALD REAGAN
1984,Iowa,1984-11-06,Walter F. Mondale,39.460832,WALTER MONDALE
1984,Kansas,1984-11-06,Ronald Reagan,55.230548,RONALD REAGAN
1984,Kansas,1984-11-06,Walter F. Mondale,28.888068,WALTER MONDALE
1984,Kentucky,1984-11-06,Ronald Reagan,58.363156,RONALD REAGAN
1984,Kentucky,1984-11-06,Walter F. Mondale,33.065294,WALTER MONDALE
1984,Maryland,1984-11-06,Ronald Reagan,49.0,RONALD REAGAN
1984,Maryland,1984-11-06,Walter F. Mondale,36.0,WALTER MONDALE
1984,Massachusetts,1984-11-06,Ronald Reagan,48.877508,RONALD REAGAN
1984,Massachusetts,1984-11-06,Walter F. Mondale,44.119005,WALTER MONDALE
1984,Minnesota,1984-11-06,Ronald Reagan,44.691374,RONALD REAGAN
1984,Minnesota,1984-11-06,Walter F. Mondale,46.088834,WALTER MONDALE
1984,Missouri,1984-11-06,Ronald Reagan,54.514807,RONALD REAGAN
1984,Missouri,1984-11-06,Walter F. Mondale,37.749237,WALTER MONDALE
1984,National,1984-11-06,Ronald Reagan,56.92206,RONALD REAGAN
1984,National,1984-11-06,Walter F. Mondale,38.947609,WALTER MONDALE
1984,Nebraska,1984-11-06,Ronald Reagan,58.280248,RONALD REAGAN
1984,Nebraska,1984-11-06,Walter F. Mondale,26.931731,WALTER MONDALE
1984,New Hampshire,1984-11-06,Ronald Reagan,50.576813,RONALD REAGAN
1984,New Hampshire,1984-11-06,Walter F. Mondale,42.543725,WALTER MONDALE
1984,New Jersey,1984-11-06,Ronald Reagan,56.537236,RONALD REAGAN
1984,New Jersey,1984-11-06,Walter F. Mondale,32.496976,WALTER MONDALE
1984,New Mexico,1984-11-06,Ronald Reagan,59.213861,RONALD REAGAN
1984,New Mexico,1984-11-06,Walter F. Mondale,36.962649,WALTER MONDALE
1984,New York,1984-11-06,Ronald Reagan,49.923902,RONALD REAGAN
1984,New York,1984-11-06,Walter F. Mondale,38.551885,WALTER MONDALE
1984,North Carolina,1984-11-06,Ronald Reagan,62.250338,RONALD REAGAN
1984,North Carolina,1984-11-06,Walter F. Mondale,33.807644,WALTER MONDALE
1984,Ohio,1984-11-06,Ronald Reagan,58.117125,RONALD REAGAN
1984,Ohio,1984-11-06,Walter F. Mondale,39.468842,WALTER MONDALE
1984,Oregon,1984-11-06,Ronald Reagan,49.161356,RONALD REAGAN
1984,Oregon,1984-11-06,Walter F. Mondale,38.4373,WALTER MONDALE
1984,Pennsylvania,1984-11-06,Ronald Reagan,55.145954,RONALD REAGAN
1984,Pennsylvania,1984-11-06,Walter F. Mondale,40.310944,WALTER MONDALE
1984,Rhode Island,1984-11-06,Ronald Reagan,48.491938,RONALD REAGAN
1984,Rhode Island,1984-11-06,Walter F. Mondale,38.622482,WALTER MONDALE
1984,Texas,1984-11-06,Ronald Reagan,59.732967,RONALD REAGAN
1984,Texas,1984-11-06,Walter F. Mondale,33.363964,WALTER MONDALE
1984,Utah,1984-11-06,Ronald Reagan,70.58637,RONALD REAGAN
1984,Utah,1984-11-06,Walter F. Mondale,23.614176,WALTER MONDALE
1984,Virginia,1984-11-06,Ronald Reagan,59.0,RONALD REAGAN
1984,Virginia,1984-11-06,Walter F. Mondale,31.0,WALTER MONDALE
1984,Washington,1984-11-06,Ronald Reagan,48.308329,RONALD REAGAN
1984,Washington,1984-11-06,Walter F. Mondale,34.142811,WALTER MONDALE
1984,West Virginia,1984-11-06,Ronald Reagan,54.504172,RONALD REAGAN
1984,West Virginia,1984-11-06,Walter F. Mondale,44.393791,WALTER MONDALE
1984,Wisconsin,1984-11-06,Ronald Reagan,52.425154,RONALD REAGAN
1984,Wisconsin,1984-11-06,Walter F. Mondale,35.545034,WALTER MONDALE
1988,Alabama,1988-11-08,George Bush,55.479872,GEORGE BUSH
1988,Alabama,1988-11-08,Michael S. Dukakis,36.941321,MICHAEL DUKAKIS
1988,Alaska,1988-11-08,George Bush,51.51186,GEORGE BUSH
1988,Alaska,1988-11-08,Michael S. Dukakis,41.120967,MICHAEL DUKAKIS
1988,Arizona,1988-11-08,George Bush,53.228553,GEORGE BUSH
1988,Arizona,1988-11-08,Michael S. Dukakis,33.011637,MICHAEL DUKAKIS
1988,Arkansas,1988-11-08,George Bush,47.937855,GEORGE BUSH
1988,Arkansas,1988-11-08,Michael S. Dukakis,40.347879,MICHAEL DUKAKIS
